restaurant_id,restaurant_name,city,locality,address,cuisine,menu_category,dish_name,dish_price,veg_nonveg,restaurant_rating,rating_count
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,ASPARAGUS RISOTTO,1125,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,BUTTERED SPINACH,425,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,CALIFORNIA URAMAKI,1400,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,CAPELLINI ALA SICILIANA,1025,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,CHOCOLATE ESPUMA,750,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,Chicken,700,Non-veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,FRENCH FRIES,425,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,GAMBAS ALLA GRIGLIA,1750,Non-veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,HERBS AND PISTACHIO CRUSTED,2800,Non-veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,HOMEMADE ICE CREAM & SORBET,685,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,INSALATA DI EDAMAME,825,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,LASAGNA ALLA VERDURE,1025,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,MASHED POTATOES,425,Veg,,0
9100001,Al Di La - Conrad Pune,Pune,Sangamwadi,"7, Mangaldas Road, Sangamwadi, Pune - 411001, Maharashtra, India","Italian, Mediterranean",Official Food Menu,MEDITERRANEAN SPICED BROCCOLI,900,Veg,,0
